1	program#float	reduction
2	compUnit#float	reduction
3	decl#float	reduction
4	varDecl#float	reduction
5	bType#float	reduction
6	float#float	move
7	varDef#Ident	reduction
8	Ident#Ident	move
9	argVarDef#;	reduction
10	argVarDecl#;	reduction
11	;#;	move
12	compUnit#void	reduction
13	funcDef#void	reduction
14	funcType#void	reduction
15	void#void	move
16	Ident#Ident	move
17	(#(	move
18	funcFParams#)	reduction
19	)#)	move
20	block#{	reduction
21	{#{	move
22	blockItem#Ident	reduction
23	stmt#Ident	reduction
24	exp#Ident	reduction
25	assignExp#Ident	reduction
26	eqExp#Ident	reduction
27	relExp#Ident	reduction
28	addExp#Ident	reduction
29	mulExp#Ident	reduction
30	unaryExp#Ident	reduction
31	Ident#Ident	move
32	callFunc#=	reduction
33	mulExpAtom#=	reduction
34	addExpAtom#=	reduction
35	relExpAtom#=	reduction
36	eqExpAtom#=	reduction
37	assignExpAtom#=	reduction
38	=#=	move
39	eqExp#FLOAT	reduction
40	relExp#FLOAT	reduction
41	addExp#FLOAT	reduction
42	mulExp#FLOAT	reduction
43	unaryExp#FLOAT	reduction
44	primaryExp#FLOAT	reduction
45	number#FLOAT	reduction
46	FLOAT#FLOAT	move
47	mulExpAtom#;	reduction
48	addExpAtom#;	reduction
49	relExpAtom#;	reduction
50	eqExpAtom#;	reduction
51	assignExpAtom#;	reduction
52	;#;	move
53	blockItem#if	reduction
54	stmt#if	reduction
55	if#if	move
56	(#(	move
57	cond#Ident	reduction
58	lOrExp#Ident	reduction
59	lAndExp#Ident	reduction
60	eqExp#Ident	reduction
61	relExp#Ident	reduction
62	addExp#Ident	reduction
63	mulExp#Ident	reduction
64	unaryExp#Ident	reduction
65	Ident#Ident	move
66	callFunc#>=	reduction
67	mulExpAtom#>=	reduction
68	addExpAtom#>=	reduction
69	relExpAtom#>=	reduction
70	>=#>=	move
71	addExp#INT	reduction
72	mulExp#INT	reduction
73	unaryExp#INT	reduction
74	primaryExp#INT	reduction
75	number#INT	reduction
76	INT#INT	move
77	mulExpAtom#)	reduction
78	addExpAtom#)	reduction
79	relExpAtom#)	reduction
80	eqExpAtom#)	reduction
81	lAndExpAtom#)	reduction
82	lOrExpAtom#)	reduction
83	)#)	move
84	ifStmt#{	reduction
85	{#{	move
86	stmt#return	reduction
87	return#return	move
88	argExp#INT	reduction
89	exp#INT	reduction
90	assignExp#INT	reduction
91	eqExp#INT	reduction
92	relExp#INT	reduction
93	addExp#INT	reduction
94	mulExp#INT	reduction
95	unaryExp#INT	reduction
96	primaryExp#INT	reduction
97	number#INT	reduction
98	INT#INT	move
99	mulExpAtom#;	reduction
100	addExpAtom#;	reduction
101	relExpAtom#;	reduction
102	eqExpAtom#;	reduction
103	assignExpAtom#;	reduction
104	;#;	move
105	}#}	move
106	elsePart#else	reduction
107	else#else	move
108	{#{	move
109	stmt#return	reduction
110	return#return	move
111	argExp#INT	reduction
112	exp#INT	reduction
113	assignExp#INT	reduction
114	eqExp#INT	reduction
115	relExp#INT	reduction
116	addExp#INT	reduction
117	mulExp#INT	reduction
118	unaryExp#INT	reduction
119	primaryExp#INT	reduction
120	number#INT	reduction
121	INT#INT	move
122	mulExpAtom#;	reduction
123	addExpAtom#;	reduction
124	relExpAtom#;	reduction
125	eqExpAtom#;	reduction
126	assignExpAtom#;	reduction
127	;#;	move
128	}#}	move
129	blockItem#}	reduction
130	}#}	move
131	compUnit##	reduction
132	EOF#EOF	accept
